id,title,publishedAt,channelId,channelTitle,viewCount,likeCount,commentCount,channel_short_name,channel_category
V4b-dB-p1oc,Secret Undercover Spy Mission! Ninja Kidz Bakugan Battle League!,5 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
FgQU4HgVDLE,Goo Jit Zu Movie Remastered! Ninja Kidz Tv,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
-NAy4q_95hY,Payton Races on American Ninja Warrior Jr! BTS,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
RpkRn8iKDL4,MYSTERY MONSTER! Creature Trapped in our Giant LEGO Fort!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
iq-oUe29boA,Lego vs Box Fort Building Challenge!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
6UbSK05yjmc,"Secret Bakugan Battle! Ninja Kidz vs Superhero Kids, Kids fun tv, & ZZ Kids.",6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
9F-HAcmVIyQ,Ninja Kidz team up with Robin to Save Batman from The Joker!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
2hvmSALCzgw,Sonic The Hedgehog Ninja Kidz!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
01ogsywg5Ug,Dr. Disaster VS Ninja Kidz and the Heroes of Goo Jit Zu!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
1gxGKfrkkTI,Ninja Kidz SLAM Dunk Team!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
X3qLO-f-Bhw,Waterpark Challenge! Boys VS Girls,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
kzq6TFywONE,Hide and Seek on a Cruise Ship!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
8_a8KUKaSLA,Who knows Payton Better? Paxton vs Bryton!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
XAAMh44got0,Sleeping in the jungle! We found Rhino!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
4rm12IYN3Io,Ninja Kidz on Safari in Africa! We found BABY LIONS!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
svFq1ErwjEM,We're Going to Africa! Surprise Adventure!,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
SFn9uDskGP8,Star Wars Scream saber,6 years ago,UCpZ88DWlKW0H_AYDaUZptcw,,0,0,0,ninjakidztv,family
