video_id,num_faces,num_smiles,smile_ratio,saturation,brightness,color_std,red_ratio,yellow_ratio,edge_density,face_area_ratio
MQk4ANAADUU,3,1,0.333,69.8,189.1,81.0,0.0791,0.0087,0.0892,0.055
g7mzGOfdVLQ,0,0,0,53.1,90.7,70.5,0.0262,0.0097,0.0442,0
IZa6OwLeeKk,4,1,0.25,75.8,177.8,88.4,0.253,0.0041,0.0493,0.1122
vhVRo3RsEJw,2,0,0.0,47.0,199.5,64.0,0.0139,0.0079,0.0199,0.2377
7ERr38CK-9w,4,1,0.25,83.0,174.7,72.5,0.0859,0.0304,0.0326,0.2743
OPZrTetean8,0,0,0,147.7,128.9,74.8,0.0721,0.3842,0.055,0
9J4AvFQwf3w,3,0,0.0,171.1,130.8,84.8,0.1972,0.1493,0.07,0.2169
O6VON2LNNik,0,0,0,150.8,118.1,76.7,0.1282,0.3037,0.0281,0
CMQ9ecDNa4o,2,1,0.5,83.5,179.0,69.6,0.1857,0.0253,0.0282,0.0686
FlnYEd52S4w,7,3,0.429,79.4,209.7,66.3,0.0728,0.0221,0.0708,0.1791
yALEZTPa63A,1,1,1.0,119.0,192.2,79.6,0.1234,0.1504,0.0997,0.1009
JEnUROlAR5Y,3,1,0.333,82.0,164.9,56.9,0.0535,0.0032,0.0277,0.0806
cAgToLiPZrg,1,1,1.0,120.2,109.5,65.7,0.176,0.0722,0.0814,0.2139
-uTPGWzO5dk,11,0,0.0,158.8,205.4,87.8,0.3021,0.0426,0.0803,0.1154
EOLwn7_FcAg,3,0,0.0,65.1,186.5,78.5,0.0815,0.0143,0.086,0.0554
Rbr5O__uzJM,4,0,0.0,68.1,153.5,95.6,0.044,0.0278,0.0912,0.1109
rBA7E-X3Sfc,4,2,0.5,127.4,150.4,87.5,0.3535,0.158,0.019,0.2947
m4X55jZgSNo,3,0,0.0,108.7,196.1,72.5,0.152,0.0931,0.1107,0.1424
RMvy5OHC7VM,6,1,0.167,53.7,190.9,69.2,0.0769,0.025,0.0829,0.1546
mKz93IPhdo8,9,1,0.111,109.5,157.8,80.5,0.1766,0.0699,0.1487,0.1036
Zo3q9S1bRqg,2,1,0.5,105.3,147.8,87.8,0.1763,0.0492,0.1264,0.2114
YBbgO2jR9EM,3,0,0.0,46.4,178.8,65.9,0.0058,0.0022,0.0153,0.1487
v6EufXWaZwc,1,0,0.0,116.3,176.8,69.1,0.0039,0.0399,0.0944,0.009
TByljkqDFnc,3,1,0.333,73.3,154.7,72.4,0.1044,0.0287,0.0753,0.1107
p7uCni_gplQ,1,0,0.0,86.9,171.8,86.8,0.2271,0.0028,0.0578,0.0815
2n3m9CnzYIE,4,1,0.25,83.6,145.1,70.1,0.0554,0.0658,0.0402,0.1338
1sZE5qyiADI,3,1,0.333,86.5,203.3,82.6,0.1386,0.0391,0.0733,0.074
r6pMuptW2NM,0,0,0,88.8,159.5,75.5,0.0026,0.2691,0.0291,0
wP0Qdb0RdQk,1,1,1.0,50.4,149.8,43.9,0.0299,0.0001,0.0962,0.0768
9Bt2vgj-x2w,4,0,0.0,148.2,162.3,75.1,0.1763,0.3029,0.1051,0.0258
_30qOKlwZbA,2,0,0.0,73.4,139.0,69.2,0.0547,0.1449,0.0735,0.05
