channel,category,is_family,viral_video_idx,viral_views,pre_drift_mean,post_drift_mean,drift_change
cocomelon,family,1,318,987477519,0.2995936,0.28178078,-0.017812818
cocomelon,family,1,319,8814329346,0.29733372,0.28220183,-0.015131891
cocomelon,family,1,321,1180468378,0.3039878,0.28193462,-0.022053182
cocomelon,family,1,322,1636981852,0.30257672,0.28007853,-0.02249819
cocomelon,family,1,327,4799360332,0.2866713,0.29182094,0.0051496327
cocomelon,family,1,328,1848316150,0.28595728,0.29881048,0.012853205
cocomelon,family,1,330,1429911414,0.28220183,0.29433814,0.01213631
cocomelon,family,1,332,1725397182,0.28193462,0.3027565,0.02082187
cocomelon,family,1,334,2096503054,0.28008968,0.28291947,0.00282979
cocomelon,family,1,335,910885547,0.2908799,0.28771788,-0.0031620264
cocomelon,family,1,340,3423071857,0.30276155,0.28911978,-0.013641775
cocomelon,family,1,342,1038442725,0.29771656,0.2857015,-0.012015045
cocomelon,family,1,348,1478843921,0.29683107,0.30423957,0.0074084997
cocomelon,family,1,351,1837781397,0.28911978,0.31104726,0.021927476
cocomelon,family,1,353,1067052230,0.2857015,0.2989958,0.01329428
cocomelon,family,1,355,1582098533,0.30720943,0.28958482,-0.017624617
cocomelon,family,1,359,1344668808,0.30423957,0.28905442,-0.0151851475
cocomelon,family,1,361,3351916983,0.30657694,0.27992785,-0.026649088
cocomelon,family,1,362,1174656841,0.31104726,0.27052262,-0.04052463
cocomelon,family,1,369,1914532969,0.29059166,0.28335252,-0.007239133
cocomelon,family,1,375,1912354631,0.27239758,0.2937351,0.02133751
cocomelon,family,1,377,916224709,0.28632718,0.29596907,0.009641886
cocomelon,family,1,378,1355366335,0.28350824,0.29603127,0.012523025
cocomelon,family,1,390,1236638737,0.298618,0.29238808,-0.0062299073
cocomelon,family,1,404,1215622712,0.28328553,0.29700503,0.013719499
cocomelon,family,1,410,1465369885,0.2907529,0.28956467,-0.0011882186
cocomelon,family,1,411,1207398405,0.2909937,0.29176638,0.0007726848
cocomelon,family,1,443,1818134092,0.30859947,0.29135856,-0.017240912
cocomelon,family,1,452,1170692072,0.29255527,0.2959103,0.0033550262
cocomelon,family,1,555,1177551753,0.27385455,0.29278648,0.018931925
cocomelon,family,1,669,1118793570,0.3199633,0.30409223,-0.015871078
cocomelon,family,1,802,1101622280,0.29833013,0.30998296,0.011652827
cocomelon,family,1,873,1284111529,0.24896987,0.2212176,-0.027752265
cocomelon,family,1,983,1348115767,0.27344242,0.21214636,-0.06129606
colinfurze,adult,0,60,20394990,-0.03321941,0.037213888,0.070433296
colinfurze,adult,0,72,22415309,0.0403601,0.06455147,0.024191372
colinfurze,adult,0,87,22772812,0.006221442,0.012235632,0.00601419
colinfurze,adult,0,101,28063865,0.018575132,-0.024047375,-0.042622507
colinfurze,adult,0,104,24076446,0.0141637325,-0.028117746,-0.04228148
colinfurze,adult,0,132,51524546,0.024658034,0.011591878,-0.013066156
colinfurze,adult,0,176,23788068,0.03259605,0.017047219,-0.015548833
colinfurze,adult,0,211,24736537,0.044983137,0.022123855,-0.022859283
colinfurze,adult,0,214,20505222,0.058443714,0.0058526224,-0.052591093
colinfurze,adult,0,220,19983717,0.037415177,0.004787761,-0.032627415
colinfurze,adult,0,268,43853015,0.03191311,-0.007732863,-0.039645974
colinfurze,adult,0,323,20964732,0.0023870436,0.011851454,0.009464411
colinfurze,adult,0,337,23353985,0.016980339,0.013694118,-0.003286221
colinfurze,adult,0,342,112511454,-0.0035275691,0.01549379,0.019021358
colinfurze,adult,0,348,27716687,0.013694118,0.025846878,0.01215276
dailybumps,family,1,189,13040468,0.07589909,0.1331484,0.057249315
dailybumps,family,1,285,10244574,0.011546186,0.043630607,0.03208442
dailybumps,family,1,526,51563781,0.018399436,0.047552593,0.029153157
dailybumps,family,1,530,15994802,0.06251462,0.0927619,0.030247279
